source_id,file_name,display_name,source_type,source_date,language,scope,repository_note
S1,data/source-material/charts/Drzewo Genealogy.png,Drzewo genealogiczne,polished chart,,,Wanda Gościńska branch,Original supplied image.
S2,data/source-material/charts/Goscinscy z Wapiennego Genealogy.png,Gościńscy z Wapiennego,printed chart,,,Gościński family and side pedigrees,Original supplied image.
S3,data/source-material/charts/Goscinski z Pyrc Genealogy.png,Gościński z Pyrc,handwritten chart,,,Gościński and Pyrc branches,Original supplied image.
S4,data/source-material/charts/Wladusklana Mickulska Genealogy.png,Stanisław and Władysława Miczulska,handwritten chart,,,Stanisław Gościński and Władysława Miczulska branch,Original supplied image.
S5,data/source-material/charts/Rodzina Ramsow Geneoaogy.png,Rodzina Ramsów,printed chart,,,Rams family and Gościński bridge,Original supplied image.
S6,data/source-material/charts/Mickulska Genealogy.png,Later Stanisław and Władysława chart,handwritten chart,,,Later Stanisław Gościński and Władysława Miczulska branch,Original supplied image.
